,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,qubo_approx_node_connectivity
2493,KCMCQ,3,33,171,33,66,5.181818181818182,2.590909090909091,1.0,0.018564205653021443,513,2951,5.752436647173489,0.0009822845458984375,0.2813584804534912,0.28234076499938965,14,5
2494,KCMCQ,3,33,158,33,66,4.787878787878788,2.393939393939394,1.0,0.018768788860045852,474,2578,5.438818565400844,0.0008618831634521484,0.21985578536987305,0.2207176685333252,13,4
2495,KCMCQ,3,33,145,33,66,4.393939393939394,2.196969696969697,1.0,0.01919593198792309,435,2247,5.165517241379311,0.0007886886596679688,0.18593096733093262,0.18671965599060059,10,4
2496,KCMCQ,3,33,132,33,66,4.0,2.0,1.0,0.019549929676511955,396,1925,4.861111111111111,0.0007200241088867188,0.15237879753112793,0.15309882164001465,10,4
2497,KCMCQ,3,33,119,33,66,3.606060606060606,1.803030303030303,1.0,0.019780946086299687,357,1614,4.5210084033613445,0.0007188320159912109,0.1253805160522461,0.1260993480682373,9,4
2498,KCMCQ,3,33,106,33,66,3.212121212121212,1.606060606060606,1.0,0.020752732972243716,318,1364,4.289308176100629,0.0005996227264404297,0.10448622703552246,0.10508584976196289,8,3
2499,KCMCQ,3,33,93,33,66,2.8181818181818183,1.4090909090909092,1.0,0.021737448750676878,279,1122,4.021505376344086,0.0005424022674560547,0.07619333267211914,0.0767357349395752,6,2
2500,KCMCQ,3,33,80,33,66,2.4242424242424243,1.2121212121212122,1.0,0.022663877266387727,240,890,3.7083333333333335,0.00046753883361816406,0.05572032928466797,0.05618786811828613,4,2
2501,KCMCQ,3,33,67,33,64,2.0303030303030303,1.046875,1.0,0.023930348258706467,201,682,3.3930348258706466,0.00041174888610839844,0.03928709030151367,0.03969883918762207,3,2
2502,KCMCQ,3,33,54,33,61,1.6363636363636365,0.8852459016393442,1.0,0.026838432635534086,162,512,3.1604938271604937,0.0003490447998046875,0.025905370712280273,0.02625441551208496,2,2
2503,KCMCQ,3,33,41,32,54,1.28125,0.7592592592592593,1.0,0.02892176462748234,123,340,2.7642276422764227,0.0003101825714111328,0.01591348648071289,0.016223669052124023,2,1
2504,KCMCQ,3,33,28,28,46,1.0,0.6086956521739131,1.0,0.03671830177854274,84,212,2.5238095238095237,0.0002181529998779297,0.006975412368774414,0.007193565368652344,2,1
2505,KCMCQ,3,33,15,22,33,0.6818181818181818,0.45454545454545453,1.0,0.06161616161616162,45,106,2.3555555555555556,0.00016999244689941406,0.0021505355834960938,0.002320528030395508,2,0
2506,KCMCQ,3,33,2,6,6,0.3333333333333333,0.3333333333333333,1.0,0.4,6,12,2.0,7.796287536621094e-05,0.0001366138458251953,0.00021457672119140625,0,0
2507,KCMCQ,3,30,288,30,60,9.6,4.8,1.0,0.0192802883996395,864,8052,9.319444444444445,0.0013401508331298828,0.7348933219909668,0.7362334728240967,17,9
2508,KCMCQ,3,30,275,30,60,9.166666666666666,4.583333333333333,1.0,0.019382171226831422,825,7413,8.985454545454546,0.001276254653930664,0.6951465606689453,0.696422815322876,17,9
2509,KCMCQ,3,30,262,30,60,8.733333333333333,4.366666666666666,1.0,0.019597737475891802,786,6832,8.692111959287532,0.001271963119506836,0.6147603988647461,0.6160323619842529,17,8
2510,KCMCQ,3,30,249,30,60,8.3,4.15,1.0,0.019685533914029666,747,6232,8.342704149933066,0.001201629638671875,0.5633621215820312,0.5645637512207031,16,7
2511,KCMCQ,3,30,236,30,60,7.866666666666666,3.933333333333333,1.0,0.019766020185553665,708,5655,7.987288135593221,0.0011713504791259766,0.5366847515106201,0.5378561019897461,16,7
2512,KCMCQ,3,30,223,30,60,7.433333333333334,3.716666666666667,1.0,0.019794491734020748,669,5092,7.61136023916293,0.0011212825775146484,0.44628453254699707,0.4474058151245117,16,6
2513,KCMCQ,3,30,210,30,60,7.0,3.5,1.0,0.020026749438514145,630,4598,7.298412698412698,0.0010058879852294922,0.3954789638519287,0.3964848518371582,15,6
2514,KCMCQ,3,30,197,30,60,6.566666666666666,3.283333333333333,1.0,0.020338983050847456,591,4137,7.0,0.000989675521850586,0.3487837314605713,0.3497734069824219,13,5
2515,KCMCQ,3,30,184,30,60,6.133333333333334,3.066666666666667,1.0,0.020739630184907546,552,3706,6.713768115942029,0.0009300708770751953,0.5497622489929199,0.5506923198699951,12,5
2516,KCMCQ,3,30,171,30,60,5.7,2.85,1.0,0.021046539961013647,513,3277,6.3879142300194935,0.0008835792541503906,0.26276731491088867,0.26365089416503906,12,5
2517,KCMCQ,3,30,158,30,60,5.266666666666667,2.6333333333333333,1.0,0.021480629075565784,474,2882,6.080168776371308,0.0008099079132080078,0.22295904159545898,0.223768949508667,10,4
2518,KCMCQ,3,30,145,30,60,4.833333333333333,2.4166666666666665,1.0,0.021738439535992374,435,2487,5.7172413793103445,0.0007526874542236328,0.20182490348815918,0.2025775909423828,9,3
2519,KCMCQ,3,30,132,30,60,4.4,2.2,1.0,0.022132719601074033,396,2127,5.371212121212121,0.0007178783416748047,0.15787267684936523,0.15859055519104004,8,3
2520,KCMCQ,3,30,119,30,60,3.966666666666667,1.9833333333333334,1.0,0.022629276429672992,357,1795,5.028011204481793,0.0006396770477294922,0.12663030624389648,0.12726998329162598,8,3
2521,KCMCQ,3,30,106,30,60,3.533333333333333,1.7666666666666666,1.0,0.02378826657143424,318,1517,4.770440251572327,0.0006165504455566406,0.09943318367004395,0.10004973411560059,7,3
2522,KCMCQ,3,30,93,30,60,3.1,1.55,1.0,0.024367602692039917,279,1224,4.387096774193548,0.0005087852478027344,0.07592034339904785,0.07642912864685059,7,3
