,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,3SAT_c,3SAT_actual_v,3SAT_actual_lit,3SAT_clauses_per_variable,3SAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_textbook3SatfromkSat,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,3SAT_approx_node_connectivity,qubo_approx_node_connectivity
1769,KT3CMCQ,7,19,15,18,35,0.8333333333333334,0.42857142857142855,75,78,155,0.9615384615384616,0.4838709677419355,1.0,0.0176984126984127,225,671,2.982222222222222,0.00028061866760253906,0.00018215179443359375,0.052057504653930664,0.0525202751159668,0,2,2
1770,KT3CMCQ,7,19,2,10,13,0.2,0.15384615384615385,10,18,29,0.5555555555555556,0.3448275862068966,1.0,0.09425287356321839,30,71,2.3666666666666667,8.797645568847656e-05,2.9802322387695312e-05,0.0010573863983154297,0.0011751651763916016,0,2,1
1771,KT3CMCQ,7,16,288,16,32,18.0,9.0,1440,1168,2336,1.2328767123287672,0.6164383561643836,1.0,0.007387040895954996,4320,73234,16.952314814814816,0.0024526119232177734,0.0034263134002685547,17.842125177383423,17.84800410270691,1,3,3
1772,KT3CMCQ,7,16,275,16,32,17.1875,8.59375,1375,1116,2232,1.232078853046595,0.6160394265232975,1.0,0.007390647503159627,4125,66988,16.239515151515153,0.002562284469604492,0.0033686161041259766,17.6069815158844,17.61291241645813,1,3,3
1773,KT3CMCQ,7,16,262,16,32,16.375,8.1875,1310,1064,2128,1.231203007518797,0.6156015037593985,1.0,0.007435025131193183,3930,61332,15.606106870229008,0.002505779266357422,0.003373384475708008,16.28649377822876,16.292372941970825,1,3,3
1774,KT3CMCQ,7,16,249,16,32,15.5625,7.78125,1245,1012,2024,1.2302371541501975,0.6151185770750988,1.0,0.0074530580812806665,3735,55707,14.914859437751003,0.002324342727661133,0.003246307373046875,14.71399974822998,14.719570398330688,1,3,3
1775,KT3CMCQ,7,16,236,16,32,14.75,7.375,1180,960,1920,1.2291666666666667,0.6145833333333334,1.0,0.007480807084257259,3540,50400,14.23728813559322,0.002244234085083008,0.0029964447021484375,13.108245849609375,13.113486528396606,1,3,3
1776,KT3CMCQ,7,16,223,16,32,13.9375,6.96875,1115,908,1816,1.2279735682819384,0.6139867841409692,1.0,0.007529627166162451,3345,45457,13.589536621823617,0.002011537551879883,0.0034151077270507812,10.871387958526611,10.876814603805542,1,3,3
1777,KT3CMCQ,7,16,210,16,32,13.125,6.5625,1050,856,1712,1.2266355140186915,0.6133177570093458,1.0,0.007551704496766421,3150,40604,12.89015873015873,0.0018470287322998047,0.0024785995483398438,10.098530054092407,10.102855682373047,1,3,3
1778,KT3CMCQ,7,16,197,16,32,12.3125,6.15625,985,804,1608,1.2251243781094527,0.6125621890547264,1.0,0.007622346939593794,2955,36223,12.258206429780033,0.0017468929290771484,0.002359628677368164,9.09087610244751,9.094982624053955,1,3,2
1779,KT3CMCQ,7,16,184,16,32,11.5,5.75,920,752,1504,1.2234042553191489,0.6117021276595744,1.0,0.007663194499162162,2760,31937,11.571376811594202,0.0016520023345947266,0.0022306442260742188,7.369201898574829,7.373084545135498,1,3,2
1780,KT3CMCQ,7,16,171,16,32,10.6875,5.34375,855,700,1400,1.2214285714285715,0.6107142857142858,1.0,0.007761386478850967,2565,28087,10.95009746588694,0.0015459060668945312,0.003023862838745117,6.324382781982422,6.3289525508880615,1,3,2
1781,KT3CMCQ,7,16,158,16,32,9.875,4.9375,790,648,1296,1.2191358024691359,0.6095679012345679,1.0,0.007854620066149794,2370,24420,10.30379746835443,0.0014390945434570312,0.0019767284393310547,5.9043262004852295,5.907742023468018,1,3,2
1782,KT3CMCQ,7,16,145,16,32,9.0625,4.53125,725,596,1192,1.2164429530201342,0.6082214765100671,1.0,0.007965823895779801,2175,21008,9.658850574712643,0.0015172958374023438,0.0018053054809570312,4.984864234924316,4.988186836242676,1,3,2
1783,KT3CMCQ,7,16,132,16,32,8.25,4.125,660,544,1088,1.213235294117647,0.6066176470588235,1.0,0.0080869329985045,1980,17824,9.002020202020201,0.001280069351196289,0.001699686050415039,4.042228698730469,4.04520845413208,1,3,2
1784,KT3CMCQ,7,16,119,16,32,7.4375,3.71875,595,492,984,1.2093495934959348,0.6046747967479674,1.0,0.008189823014407557,1785,14825,8.305322128851541,0.0011157989501953125,0.0014188289642333984,3.2775635719299316,3.2800981998443604,1,3,2
1785,KT3CMCQ,7,16,106,16,32,6.625,3.3125,530,440,880,1.2045454545454546,0.6022727272727273,1.0,0.008348274893034264,1590,12136,7.632704402515723,0.0010180473327636719,0.0012233257293701172,2.4669721126556396,2.4692134857177734,1,3,2
1786,KT3CMCQ,7,16,93,16,32,5.8125,2.90625,465,388,776,1.1984536082474226,0.5992268041237113,1.0,0.008539413667381455,1395,9698,6.951971326164874,0.0009083747863769531,0.0010690689086914062,1.8943336009979248,1.8963110446929932,1,3,2
1787,KT3CMCQ,7,16,80,16,32,5.0,2.5,400,336,672,1.1904761904761905,0.5952380952380952,1.0,0.008872671670836808,1200,7583,6.319166666666667,0.0007281303405761719,0.0008816719055175781,1.3593542575836182,1.360964059829712,1,3,3
1788,KT3CMCQ,7,16,67,16,32,4.1875,2.09375,335,284,568,1.1795774647887325,0.5897887323943662,1.0,0.009278309646984203,1005,5686,5.65771144278607,0.0006988048553466797,0.0008366107940673828,0.9899497032165527,0.9914851188659668,1,3,2
1789,KT3CMCQ,7,16,54,16,32,3.375,1.6875,270,232,464,1.1637931034482758,0.5818965517241379,1.0,0.009958949472752521,810,4073,5.0283950617283955,0.0005276203155517578,0.0006184577941894531,0.6364426612854004,0.6375887393951416,1,3,2
1790,KT3CMCQ,7,16,41,16,32,2.5625,1.28125,205,180,360,1.1388888888888888,0.5694444444444444,1.0,0.011085511506580863,615,2708,4.403252032520325,0.0004191398620605469,0.0004894733428955078,0.3902137279510498,0.39112234115600586,1,3,2
1791,KT3CMCQ,7,16,28,16,31,1.75,0.9032258064516129,140,128,255,1.09375,0.5490196078431373,1.0,0.013001477440618253,420,1564,3.723809523809524,0.0003361701965332031,0.00033593177795410156,0.16945481300354004,0.17012691497802734,1,3,2
1792,KT3CMCQ,7,16,15,16,30,0.9375,0.5,75,76,150,0.9868421052631579,0.5,1.0,0.01876984126984127,225,698,3.102222222222222,0.0002090930938720703,0.00020456314086914062,0.055149078369140625,0.055562734603881836,1,2,2
1793,KT3CMCQ,7,16,2,11,13,0.18181818181818182,0.15384615384615385,10,19,29,0.5263157894736842,0.3448275862068966,1.0,0.09195402298850575,30,70,2.3333333333333335,9.822845458984375e-05,3.24249267578125e-05,0.001214742660522461,0.0013453960418701172,0,1,1
1794,KT3CMCQ,7,13,288,13,26,22.153846153846153,11.076923076923077,1440,1165,2330,1.2360515021459229,0.6180257510729614,1.0,0.008972198639945804,4320,88022,20.375462962962963,0.002658843994140625,0.0035965442657470703,18.147756576538086,18.154011964797974,1,3,3
1795,KT3CMCQ,7,13,275,13,26,21.153846153846153,10.576923076923077,1375,1113,2226,1.2353998203054808,0.6176999101527404,1.0,0.009000382094465508,4125,80680,19.55878787878788,0.0025565624237060547,0.0035369396209716797,17.857099533081055,17.863193035125732,1,3,3
1796,KT3CMCQ,7,13,262,13,26,20.153846153846153,10.076923076923077,1310,1061,2122,1.234684260131951,0.6173421300659755,1.0,0.009018604401148373,3930,73558,18.71704834605598,0.0024895668029785156,0.0035088062286376953,16.436044692993164,16.44204306602478,1,3,3
1797,KT3CMCQ,7,13,249,13,26,19.153846153846153,9.576923076923077,1245,1009,2018,1.2338949454905848,0.6169474727452924,1.0,0.009048584984465625,3735,66833,17.89370816599732,0.002594470977783203,0.0031158924102783203,14.593073606491089,14.59878396987915,1,3,3
1798,KT3CMCQ,7,13,236,13,26,18.153846153846153,9.076923076923077,1180,957,1914,1.233019853709509,0.6165099268547545,1.0,0.009091750837719487,3540,60491,17.087853107344632,0.0020542144775390625,0.002755403518676758,12.139102935791016,12.143912553787231,1,3,3
1799,KT3CMCQ,7,13,223,13,26,17.153846153846153,8.576923076923077,1115,905,1810,1.2320441988950277,0.6160220994475138,1.0,0.009159568305190208,3345,54573,16.314798206278027,0.002073049545288086,0.002693653106689453,11.43089485168457,11.435661554336548,1,3,3
1800,KT3CMCQ,7,13,210,13,26,16.153846153846153,8.076923076923077,1050,853,1706,1.2309495896834701,0.6154747948417351,1.0,0.009213305307303401,3150,48845,15.506349206349206,0.0018687248229980469,0.002463817596435547,10.108860969543457,10.11319351196289,1,3,3
1801,KT3CMCQ,7,13,197,13,26,15.153846153846153,7.576923076923077,985,801,1602,1.229712858926342,0.614856429463171,1.0,0.009283921425764716,2955,43475,14.712351945854484,0.0017561912536621094,0.0024194717407226562,9.175375938415527,9.179551601409912,1,3,3
1802,KT3CMCQ,7,13,184,13,26,14.153846153846153,7.076923076923077,920,749,1498,1.2283044058744994,0.6141522029372497,1.0,0.009331253184571179,2760,38288,13.872463768115942,0.0016875267028808594,0.0026264190673828125,7.846092700958252,7.850406646728516,1,3,3
1803,KT3CMCQ,7,13,171,13,26,13.153846153846153,6.576923076923077,855,697,1394,1.2266857962697275,0.6133428981348638,1.0,0.009374059172893232,2565,33390,13.017543859649123,0.0016064643859863281,0.0032300949096679688,6.992501258850098,6.997337818145752,1,3,3
1804,KT3CMCQ,7,13,158,13,26,12.153846153846153,6.076923076923077,790,645,1290,1.2248062015503876,0.6124031007751938,1.0,0.009437299293084194,2370,28863,12.178481012658228,0.0014684200286865234,0.002021312713623047,5.710635423660278,5.714125156402588,1,3,3
1805,KT3CMCQ,7,13,145,13,26,11.153846153846153,5.576923076923077,725,593,1186,1.2225969645868466,0.6112984822934233,1.0,0.00952151339233787,2175,24686,11.349885057471264,0.0013387203216552734,0.0016531944274902344,4.5933918952941895,4.596383810043335,1,3,3
1806,KT3CMCQ,7,13,132,13,26,10.153846153846153,5.076923076923077,660,541,1082,1.21996303142329,0.609981515711645,1.0,0.009649807830707275,1980,20886,10.548484848484849,0.0011928081512451172,0.0015535354614257812,4.017048120498657,4.019794464111328,1,3,3
1807,KT3CMCQ,7,13,119,13,26,9.153846153846153,4.576923076923077,595,489,978,1.2167689161554192,0.6083844580777096,1.0,0.009810830161661076,1785,17406,9.751260504201682,0.0011029243469238281,0.001379251480102539,3.32332444190979,3.3258066177368164,1,3,3
1808,KT3CMCQ,7,13,106,13,26,8.153846153846153,4.076923076923077,530,437,874,1.2128146453089246,0.6064073226544623,1.0,0.010000356222615386,1590,14223,8.945283018867924,0.0010013580322265625,0.001199483871459961,2.562206983566284,2.5644078254699707,1,3,3
1809,KT3CMCQ,7,13,93,13,26,7.153846153846154,3.576923076923077,465,385,770,1.2077922077922079,0.6038961038961039,1.0,0.010211711225271645,1395,11324,8.117562724014338,0.0008702278137207031,0.0011019706726074219,1.8760528564453125,1.8780250549316406,1,3,3
1810,KT3CMCQ,7,13,80,13,26,6.153846153846154,3.076923076923077,400,333,666,1.2012012012012012,0.6006006006006006,1.0,0.010468445927161523,1200,8731,7.275833333333333,0.0008275508880615234,0.000997304916381836,1.6347742080688477,1.636599063873291,1,3,3
1811,KT3CMCQ,7,13,67,13,26,5.153846153846154,2.576923076923077,335,281,562,1.1921708185053381,0.5960854092526691,1.0,0.010873917266258349,1005,6491,6.458706467661692,0.0006773471832275391,0.0008637905120849609,1.0774750709533691,1.0790162086486816,1,3,3
1812,KT3CMCQ,7,13,54,13,26,4.153846153846154,2.076923076923077,270,229,458,1.1790393013100438,0.5895196506550219,1.0,0.011475835126432571,810,4570,5.6419753086419755,0.0005373954772949219,0.0006401538848876953,0.627232551574707,0.6284101009368896,2,3,3
1813,KT3CMCQ,7,13,41,13,26,3.1538461538461537,1.5769230769230769,205,177,354,1.1581920903954803,0.5790960451977402,1.0,0.012542040729853553,615,2983,4.850406504065041,0.00042700767517089844,0.0004858970642089844,0.36136579513549805,0.36227869987487793,1,2,3
1814,KT3CMCQ,7,13,28,13,26,2.1538461538461537,1.0769230769230769,140,125,250,1.12,0.56,1.0,0.014467553131037618,420,1693,4.030952380952381,0.0003261566162109375,0.0003542900085449219,0.18071699142456055,0.1813974380493164,1,2,3
1815,KT3CMCQ,7,13,15,13,25,1.1538461538461537,0.6,75,73,145,1.0273972602739727,0.5172413793103449,1.0,0.019444444444444445,225,715,3.1777777777777776,0.00020933151245117188,0.0001914501190185547,0.055025577545166016,0.05542635917663574,1,3,2
1816,KT3CMCQ,7,13,2,8,12,0.25,0.16666666666666666,10,16,28,0.625,0.35714285714285715,1.0,0.09885057471264368,30,73,2.433333333333333,9.179115295410156e-05,3.314018249511719e-05,0.0011894702911376953,0.001314401626586914,1,2,1
